title,movie_url,poster_url,rating,genre
Out of Sight (1998),https://letterboxd.com/film/out-of-sight/,https://a.ltrbxd.com/resized/film-poster/5/1/0/7/0/51070-out-of-sight-0-1000-0-1500-crop.jpg?v=6bc3843a5c,3.68,crime
Wrath of Man (2021),https://letterboxd.com/film/wrath-of-man/,https://a.ltrbxd.com/resized/film-poster/5/6/3/6/4/3/563643-wrath-of-man-0-1000-0-1500-crop.jpg?v=3c479a4420,3.22,action
22 Jump Street (2014),https://letterboxd.com/film/22-jump-street/,https://a.ltrbxd.com/resized/sm/upload/qq/wx/vh/dy/tPnw9oqIvIMoYjVozkDkxm3xR8r-0-1000-0-1500-crop.jpg?v=28856a9f35,3.34,crime
Glengarry Glen Ross (1992),https://letterboxd.com/film/glengarry-glen-ross/,https://a.ltrbxd.com/resized/film-poster/4/7/0/9/6/47096-glengarry-glen-ross-0-1000-0-1500-crop.jpg?v=9b019eeb62,3.93,mystery
Blazing Saddles (1974),https://letterboxd.com/film/blazing-saddles/,https://a.ltrbxd.com/resized/film-poster/4/5/6/3/1/45631-blazing-saddles-0-1000-0-1500-crop.jpg?v=75fe1e4fb7,3.82,western
The Ministry of Ungentlemanly Warfare (2024),https://letterboxd.com/film/the-ministry-of-ungentlemanly-warfare/,https://a.ltrbxd.com/resized/film-poster/7/1/7/1/2/6/717126-the-ministry-of-ungentlemanly-warfare-0-1000-0-1500-crop.jpg?v=63fba9c252,3.16,action
Shithouse (2020),https://letterboxd.com/film/shithouse/,https://a.ltrbxd.com/resized/film-poster/5/6/3/0/1/7/563017-shithouse-0-1000-0-1500-crop.jpg?v=5919e170d9,3.76,comedy
Aquaman (2018),https://letterboxd.com/film/aquaman-2018/,https://a.ltrbxd.com/resized/film-poster/2/2/5/0/6/0/225060-aquaman-0-1000-0-1500-crop.jpg?v=a5a1c0b649,2.77,fantasy
Project X (2012),https://letterboxd.com/film/project-x-2012/,https://a.ltrbxd.com/resized/sm/upload/h7/gc/y5/05/cWXkRLmzKfYutvWeJXaednoGKdF-0-1000-0-1500-crop.jpg?v=649cf07ecb,3.29,comedy
Adventureland (2009),https://letterboxd.com/film/adventureland/,https://a.ltrbxd.com/resized/film-poster/4/1/4/7/7/41477-adventureland-0-1000-0-1500-crop.jpg?v=5f8f490a9b,3.3,romance
A Knight's Tale (2001),https://letterboxd.com/film/a-knights-tale/,https://a.ltrbxd.com/resized/film-poster/4/7/1/2/2/47122-a-knight-s-tale-0-1000-0-1500-crop.jpg?v=4f256fae60,3.59,drama
